age,income,tenure,monthly_charge,num_products,region,support_calls,churn
44,80990,14,86.15,1,West,5,0
38,73869,6,50.54,1,North,3,0
46,60894,11,77.18,2,North,2,1
55,50295,3,81.36,5,North,1,1
37,70473,8,56.03,5,East,1,0
37,65902,3,52.59,5,East,1,0
55,73427,14,104.1,2,West,2,0
47,69527,12,63.98,5,North,3,0
35,75743,13,102.3,3,East,2,0
45,51971,13,89.94,2,East,3,0
35,79760,2,78.16,3,West,3,0
35,62963,13,79.05,2,South,1,0
42,91128,13,41.99,5,North,2,0
20,49662,3,74.14,3,East,2,0
22,86039,11,98.34,3,West,2,1
34,62968,6,83.63,3,West,4,1
29,50228,2,73.09,2,West,1,1
43,52741,8,104.24,4,East,0,0
30,55194,1,66.3,5,North,1,1
25,66362,7,57.61,3,South,2,0
54,67842,2,73.08,4,North,0,0
37,51394,10,85.33,5,West,1,0
40,59634,12,35.64,5,West,0,0
25,92134,6,75.7,3,South,2,0
34,85913,12,86.21,3,North,2,1
41,66544,2,64.61,2,West,3,1
28,60570,2,92.14,4,West,0,0
43,61800,10,82.82,4,North,5,0
33,69202,13,112.83,3,West,5,1
37,44658,8,54.99,5,North,1,1
33,56139,12,86.61,3,West,4,1
58,34971,2,49.65,5,North,2,0
39,65988,7,37.69,5,South,3,1
29,69707,3,29.29,3,West,2,0
48,52752,8,80.77,1,South,3,0
27,83609,7,73.68,4,West,2,1
42,41613,14,60.42,5,West,2,0
20,38034,8,34.53,5,East,2,1
26,63366,14,56.19,1,North,2,0
41,75706,7,70.08,2,South,0,0
47,85258,11,85.86,1,South,4,0
41,53116,6,69.67,1,South,4,0
38,76180,13,75.04,5,North,1,0
36,59422,7,62.48,4,East,3,1
25,57410,5,104.98,1,South,0,0
32,73254,7,49.64,2,North,2,1
35,69784,1,56.02,3,West,0,0
50,36354,1,60.15,1,South,3,0
43,82148,9,80.85,1,South,2,0
22,80701,14,49.22,2,East,1,0
43,50616,5,72.71,4,South,0,0
36,65937,13,73.3,1,South,0,0
33,67410,5,56.11,1,West,4,1
46,63910,3,76.6,4,North,2,1
50,51745,5,49.84,2,North,2,1
49,49925,3,47.66,1,East,3,1
31,59616,9,71.99,4,West,5,1
36,77590,9,36.8,1,North,3,0
43,68154,6,27.1,3,West,0,1
49,54440,1,80.66,5,North,0,0
35,71575,7,90.98,3,West,2,1
38,20000,7,60.66,1,East,2,1
28,77231,14,56.64,2,South,2,0
28,33904,10,90.11,5,East,3,1
48,54563,10,47.09,3,North,0,0
53,43204,4,42.73,4,East,0,0
39,40579,8,84.15,2,South,3,1
50,77412,6,70.18,3,East,2,0
43,52984,4,91.3,4,North,3,1
33,65197,4,27.19,1,North,1,1
43,59296,2,41.99,4,East,3,0
55,67155,14,70.29,3,South,3,0
39,61152,2,78.35,3,East,1,1
55,40755,12,86.94,1,South,3,1
18,74944,14,73.5,4,West,4,0
48,52593,4,73.29,4,South,2,0
40,36651,5,62.21,1,West,1,0
37,53578,8,101.82,4,East,4,0
40,82511,6,47.94,1,South,1,1
20,72753,14,77.18,2,West,1,0
37,54770,4,50.24,3,West,3,0
43,54761,13,80.7,2,West,1,0
54,55175,11,49.26,5,North,4,1
34,91151,7,84.88,5,East,3,0
31,65729,8,72.24,5,West,0,0
34,66450,2,104.89,1,South,2,1
49,75454,12,64.38,4,West,3,0
43,63581,7,78.5,2,North,2,1
34,56114,14,54.41,2,East,1,0
45,57054,2,64.24,2,North,4,1
40,58925,2,72.11,2,North,1,1
49,59441,8,39.46,5,North,1,1
32,70914,2,41.65,2,South,0,0
36,60779,11,82.0,4,East,3,1
36,70989,9,67.08,5,East,0,0
25,58789,12,58.14,2,South,2,0
42,61179,1,55.26,1,East,1,0
42,30026,9,56.03,3,North,1,0
40,73744,1,72.25,3,East,2,1
37,65197,10,78.9,3,South,4,1
25,74970,13,28.16,5,North,4,1
35,20000,10,98.26,2,South,3,1
36,91325,2,96.83,5,West,4,0
31,57906,6,23.39,4,North,1,0
38,76622,6,91.72,1,North,2,1
44,44401,1,91.1,1,East,1,1
58,69191,7,70.01,3,North,1,0
41,44198,8,44.06,3,South,4,0
42,50643,2,90.3,3,East,2,0
39,88710,8,65.18,2,West,0,0
20,57139,9,80.98,4,South,3,0
39,63261,6,114.38,4,West,1,0
40,73051,5,75.04,4,West,2,0
64,67435,12,51.66,4,West,2,0
38,62256,9,63.29,3,North,0,0
43,65474,13,54.21,1,South,2,0
39,96051,12,78.67,3,South,5,0
28,59135,11,53.88,4,North,2,0
51,63016,9,60.54,3,East,3,0
47,75759,1,44.31,4,West,0,1
